383407.348764	283539.621182
383407.339648	283539.620997
383407.339648	283539.620997
383407.330532	283539.620813
383407.330532	283539.620813
383407.330307	283539.631910
383407.321191	283539.631725
383407.330083	283539.643006
383407.330083	283539.643006
383407.492153	283539.746194
383407.492378	283539.735097
383407.492378	283539.735097
383407.492378	283539.735097
383407.492378	283539.735097
383407.501718	283539.724185
383407.501943	283539.713088
383407.501943	283539.713088
383407.502167	283539.701991
383407.502167	283539.701991
383407.502167	283539.701991
383407.502391	283539.690895
383407.502391	283539.690895
383407.502391	283539.690895
383407.493724	283539.668517
383407.277854	283539.519838
383406.810323	283539.188451
383406.216513	283538.787905
383405.577795	283538.353147
383404.903061	283537.895459
383404.191414	283537.459227
383403.433514	283537.055363
383402.666721	283536.640219
383401.900153	283536.213978
383401.107134	283535.742797
383400.315461	283535.205037
383399.589396	283534.579794
383398.975415	283533.823604
383398.637834	283532.928686
383398.675360	283531.974744
383399.058176	283531.083289
383399.729118	283530.375278
383400.593660	283530.015317
383401.479941	283529.933325
383402.287910	283530.116177
383403.046708	283530.475654
383403.830612	283530.946650
383404.631625	283531.473499
383405.423523	283532.000162
383406.178732	283532.537186
383406.915484	283533.084937
383407.653133	283533.588302
383408.354766	283534.068737
383409.029725	283534.515328
383409.731807	283534.973570
383410.434562	283535.398521
383411.101077	283535.811639
383411.695111	283536.201089
383412.198209	283536.577599
383412.629276	283536.908249
383412.934736	283537.136448
383413.366252	283537.444904
383413.923149	283537.866907
383414.470705	283538.299822
383414.944211	283538.786746
383415.314299	283539.426995
383415.488910	283540.263113
383415.380473	283541.115710
383415.019029	283541.852180
383414.487969	283542.407602
383413.833098	283542.771801
383413.091104	283542.934418
383412.299126	283542.862899
383411.538758	283542.581098
383410.888681	283542.257121
383410.394026	283541.914085
383409.980968	283541.594901
383409.585693	283541.298279
383409.217990	283540.991114
383408.912530	283540.762915
383408.597505	283540.556724
383408.228680	283540.305042
383407.922996	283540.087939
383407.797165	283539.996586
383407.752258	283539.962375
383407.554396	283539.825160
383407.274938	283539.664094
383406.995704	283539.491931
383406.860757	283539.400393
383406.833857	283539.377647
383406.834082	283539.366550
383406.834306	283539.355454
383406.834306	283539.355454
383406.834530	283539.344357
383406.834755	283539.333260
